model_name,beam_size,file,ground_truth,prediction,asr_time,total_time,avg_conf,wer,cer
small,1,dummy.wav,這是dummy測試音檔的文字稿,研考會的建議著眼於簡化申請案件之手續已辯明,0.42,0.76,0.8200,1.7143,1.4000
small,1,speaker1_1.wav,研考會的建議著眼於簡化申請案件之手續已辨明,研考會的建議著眼於簡化申請案件之手續已辯明,0.17,0.44,0.8200,0.0833,0.0476
small,1,speaker1_2.wav,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章,合令的滿頭霧水簽名是不需要開放或修法才能代替蓋章等,0.16,0.56,0.8804,0.2143,0.1304
small,1,speaker2_1.wav,安非他命吸食者的尿液缺乏明定的檢驗單位致員警辦,安非他命稀使者的尿液缺乏民定的檢驗單位至遠警辦,0.16,0.43,0.7614,0.5000,0.2174
small,1,speaker2_2.wav,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,案有困擾的問題經報紙披露後彰化縣西湖分局昨天接獲上級指示,0.16,0.46,0.8483,0.2857,0.0769
small,1,speaker3_1.wav,謝雷斯在他受刀傷以來的首次訪問中說,謝雷斯在他受刀傷以來的首次訪問中說,0.16,0.40,0.9306,0.0000,0.0000
small,1,speaker3_2.wav,要恢復過去的網球感和球技水準需要很長,要恢復過去的網球感和球技水準需要很,0.15,0.37,0.9243,0.0909,0.0556
small,1,speaker4_1.wav,愛國者飛彈成功的故事顯示即使是最出色的,愛國者飛彈成功的故事顯示即使是最出色的,0.15,0.45,0.9455,0.0000,0.0000
small,1,speaker4_2.wav,經常也要一段試驗期間太快斷定它其出奇的可靠,武器經常也要一段試驗期間太快斷定他初期的可靠,0.16,0.44,0.8903,0.3077,0.2857
small,1,speaker5_1.wav,日商東芝珠式會社轉讓所持臺光公司股,日香東芝諸事會社轉讓索吃臺光公司股,0.16,0.39,0.7658,0.4545,0.2941
small,1,speaker6_1.wav,全省最高階的美術館因為一二級主館有多人,全省最高階的美術館因為一二級主館有多人,0.17,0.42,0.9172,0.0000,0.0000
small,3,dummy.wav,這是dummy測試音檔的文字稿,研考會的建議著眼於簡化申請案件之手續以辯明,0.17,0.57,0.8244,1.7143,1.4000
small,3,speaker1_1.wav,研考會的建議著眼於簡化申請案件之手續已辨明,研考會的建議著眼於簡化申請案件之手續以辯明,0.16,0.46,0.8244,0.1667,0.0952
small,3,speaker1_2.wav,令人滿頭霧水簽名是不需要開放或修法才能代替蓋章,合令的滿頭霧水簽名是不需要開放或修法才能代替蓋章等,0.16,0.50,0.8804,0.2143,0.1304
small,3,speaker2_1.wav,安非他命吸食者的尿液缺乏明定的檢驗單位致員警辦,安非他命稀使者的尿液缺乏民定的檢驗單位致遠警辦,0.15,0.50,0.7977,0.4167,0.1739
small,3,speaker2_2.wav,有困擾的問題經報紙披露後彰化縣西湖分局昨接獲上級指示,案有困擾的問題經報紙披露後彰化縣西湖分局昨天接獲上級指示,0.16,0.56,0.8483,0.2857,0.0769
small,3,speaker3_1.wav,謝雷斯在他受刀傷以來的首次訪問中說,謝雷斯在他受刀傷以來的首次訪問中說,0.16,0.42,0.9306,0.0000,0.0000
small,3,speaker3_2.wav,要恢復過去的網球感和球技水準需要很長,要恢復過去的網球感和球技水準需要很,0.16,0.43,0.9243,0.0909,0.0556
small,3,speaker4_1.wav,愛國者飛彈成功的故事顯示即使是最出色的,愛國者飛彈成功的故事顯示即使是最出色的,0.16,0.46,0.9455,0.0000,0.0000
small,3,speaker4_2.wav,經常也要一段試驗期間太快斷定它其出奇的可靠,經常也要一段試驗期間太快斷定他初期的可靠,0.16,0.50,0.8917,0.2308,0.1905
small,3,speaker5_1.wav,日商東芝珠式會社轉讓所持臺光公司股,日香東芝諸事會社轉讓索吃臺光公司股,0.16,0.45,0.7658,0.4545,0.2941
small,3,speaker6_1.wav,全省最高階的美術館因為一二級主館有多人,全省最高階的美術館因為一二級主館有多人,0.15,0.46,0.9172,0.0000,0.0000
small,5,dummy.wav,這是dummy測試音檔的文字稿,研考會的建議著眼於簡化申請案件之手續已變名,0.16,0.50,0.8280,1.7143,1.4000
